Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Alabama,21.9,2.1,21.1,54.8
1996,Alabama,17.6,4.8,21.5,56.1
1997,Alabama,20.8,3.9,22.0,53.3
1998,Alabama,19.4,5.2,21.5,53.9
1999,Alabama,18.1,5.3,24.2,52.3
2000,Alabama,19.3,5.9,24.0,50.8
2001,Alabama,17.4,6.5,23.4,52.8
2002,Alabama,19.2,5.2,23.2,52.4
2003,Alabama,19.7,5.7,23.9,50.8
2004,Alabama,18.7,6.1,20.9,54.3
2005,Alabama,18.8,6.0,20.9,54.3
2006,Alabama,17.6,5.5,23.4,53.5
2007,Alabama,16.5,6.0,23.2,54.3
2008,Alabama,17.3,4.9,21.9,56.0
2009,Alabama,16.5,6.0,22.8,54.6
2010,Alabama,15.6,6.3,23.9,54.2
