Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Alaska,22.3,2.6,27.2,47.9
1996,Alaska,21.7,6.0,26.0,46.3
1997,Alaska,22.3,4.2,24.7,48.8
1998,Alaska,19.8,6.3,25.4,48.4
1999,Alaska,19.2,8.1,25.7,47.0
2000,Alaska,18.6,6.4,28.1,46.8
2001,Alaska,19.0,7.2,26.9,46.9
2002,Alaska,21.9,7.4,25.6,45.0
2003,Alaska,19.3,7.0,26.1,47.7
2004,Alaska,16.4,8.5,24.0,51.2
2005,Alaska,18.8,6.2,23.8,51.2
2006,Alaska,16.2,7.7,27.6,48.5
2007,Alaska,15.6,6.7,27.1,50.7
2008,Alaska,15.1,6.4,28.4,50.0
2009,Alaska,14.7,5.9,28.1,51.3
2010,Alaska,13.5,6.8,26.1,53.6
