Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Arizona,20.3,2.4,25.6,51.7
1996,Arizona,19.9,3.9,25.1,51.2
1997,Arizona,18.4,2.7,13.6,65.3
1998,Arizona,19.8,2.1,17.3,60.9
1999,Arizona,17.9,2.2,17.8,62.1
2000,Arizona,13.5,5.2,21.7,59.7
2001,Arizona,15.5,6.0,25.4,53.0
2002,Arizona,17.8,5.6,24.4,52.2
2003,Arizona,15.4,5.5,26.2,53.0
2004,Arizona,13.5,5.1,24.5,57.0
2005,Arizona,13.7,6.6,25.5,54.3
2006,Arizona,12.1,6.1,24.9,56.9
2007,Arizona,13.6,6.1,24.0,56.2
2008,Arizona,10.7,5.2,27.4,56.7
2009,Arizona,11.0,5.1,26.0,57.8
2010,Arizona,10.7,4.4,27.9,57.1
