Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Arkansas,22.7,2.3,23.5,51.5
1996,Arkansas,21.9,3.4,18.0,56.7
1997,Arkansas,24.8,3.7,20.2,51.4
1998,Arkansas,22.2,3.7,24.2,49.9
1999,Arkansas,22.6,4.6,23.1,49.7
2000,Arkansas,19.9,5.2,24.5,50.4
2001,Arkansas,20.1,5.4,23.6,50.8
2002,Arkansas,21.5,4.8,24.9,48.8
2003,Arkansas,20.5,4.2,25.4,49.8
2004,Arkansas,19.4,6.2,24.7,49.8
2005,Arkansas,18.1,5.4,24.9,51.6
2006,Arkansas,18.8,4.8,25.1,51.2
2007,Arkansas,17.3,5.1,23.7,53.9
2008,Arkansas,17.0,5.4,26.3,51.4
2009,Arkansas,15.5,5.9,28.1,50.4
2010,Arkansas,17.3,5.6,24.1,53.0
