Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,California,12.7,2.5,28.2,56.7
1996,California,13.0,5.6,25.0,56.4
1997,California,12.6,5.9,26.9,54.6
1998,California,13.6,5.6,26.2,54.6
1999,California,12.5,6.2,26.4,54.9
2000,California,12.1,5.1,26.0,56.7
2001,California,12.1,5.1,25.9,56.9
2002,California,11.1,5.3,23.9,59.6
2003,California,11.3,5.5,25.2,58.0
2004,California,10.0,4.7,24.2,61.1
2005,California,9.8,5.3,23.3,61.5
2006,California,9.4,5.5,24.2,60.8
2007,California,8.8,5.5,22.9,62.8
2008,California,8.9,5.1,23.3,62.7
2009,California,8.1,4.7,23.2,63.9
2010,California,7.5,4.6,23.1,64.8
