Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Colorado,17.9,3.6,27.4,51.1
1996,Colorado,16.7,6.1,24.2,53.1
1997,Colorado,17.0,5.5,25.5,51.9
1998,Colorado,17.1,5.7,24.3,52.9
1999,Colorado,17.5,4.9,25.8,51.7
2000,Colorado,15.0,5.0,26.2,53.8
2001,Colorado,15.4,6.9,26.0,51.7
2002,Colorado,15.6,4.7,25.6,54.0
2003,Colorado,13.8,4.7,27.2,54.2
2004,Colorado,13.8,6.2,24.4,55.6
2005,Colorado,13.5,6.3,24.8,55.4
2006,Colorado,12.3,5.6,24.5,57.6
2007,Colorado,13.4,5.3,24.6,56.7
2008,Colorado,12.3,5.4,24.9,57.5
2009,Colorado,12.1,5.0,25.5,57.4
2010,Colorado,11.4,4.6,24.7,59.3
