Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Connecticut,18.6,2.0,28.8,50.7
1996,Connecticut,17.4,4.4,28.2,50.0
1997,Connecticut,17.2,4.4,29.1,49.3
1998,Connecticut,15.3,5.6,28.2,50.9
1999,Connecticut,17.5,5.3,25.3,51.9
2000,Connecticut,15.3,4.6,27.8,52.3
2001,Connecticut,14.9,5.8,28.9,50.5
2002,Connecticut,14.4,5.0,30.4,50.2
2003,Connecticut,13.9,4.7,31.2,50.2
2004,Connecticut,13.2,4.9,30.0,51.9
2005,Connecticut,12.4,4.1,29.4,54.1
2006,Connecticut,11.9,5.1,28.2,54.8
2007,Connecticut,11.3,4.1,30.5,54.1
2008,Connecticut,11.6,4.3,30.1,54.0
2009,Connecticut,10.7,4.7,28.2,56.3
2010,Connecticut,9.2,4.0,29.2,57.6
