Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Delaware,23.0,2.3,25.8,48.9
1996,Delaware,21.0,3.3,26.8,49.0
1997,Delaware,22.3,4.3,26.5,46.9
1998,Delaware,20.7,3.7,24.5,51.0
1999,Delaware,20.7,4.8,23.9,50.6
2000,Delaware,18.6,4.2,23.9,53.2
2001,Delaware,19.0,6.0,25.4,49.5
2002,Delaware,19.5,5.1,26.3,49.0
2003,Delaware,16.9,5.0,28.1,50.0
2004,Delaware,18.8,5.6,25.2,50.5
2005,Delaware,15.5,5.2,27.2,52.1
2006,Delaware,16.7,5.1,27.3,50.9
2007,Delaware,15.1,3.8,26.1,54.9
2008,Delaware,13.4,4.4,28.5,53.7
2009,Delaware,13.3,5.0,28.4,53.4
2010,Delaware,12.8,4.5,26.8,56.0
