Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1996,District of Columbia,14.9,5.6,17.8,61.7
1997,District of Columbia,11.8,7.0,15.8,65.4
1998,District of Columbia,15.1,6.6,17.0,61.3
1999,District of Columbia,13.4,7.1,16.1,63.3
2000,District of Columbia,13.9,7.0,22.0,57.1
2001,District of Columbia,12.2,8.5,23.3,55.9
2002,District of Columbia,13.4,7.0,20.4,59.2
2003,District of Columbia,13.9,8.1,22.2,55.8
2004,District of Columbia,12.5,8.4,19.2,59.9
2005,District of Columbia,11.6,8.5,21.5,58.5
2006,District of Columbia,10.6,7.3,22.1,60.0
2007,District of Columbia,11.1,6.1,22.4,60.4
2008,District of Columbia,9.3,7.0,22.5,61.2
2009,District of Columbia,9.1,6.2,24.2,60.6
2010,District of Columbia,10.0,5.7,23.4,61.0
