Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Florida,20.3,2.7,28.5,48.5
1996,Florida,18.1,3.7,30.7,47.5
1997,Florida,19.8,3.8,26.4,50.0
1998,Florida,18.0,4.0,26.1,51.9
1999,Florida,16.3,4.3,26.8,52.6
2000,Florida,17.7,5.5,27.4,49.4
2001,Florida,17.5,4.9,27.5,50.1
2002,Florida,17.8,4.2,25.1,52.9
2003,Florida,17.4,6.5,26.8,49.3
2004,Florida,14.6,5.7,25.8,53.9
2005,Florida,15.2,6.5,26.7,51.6
2006,Florida,16.0,5.1,26.1,52.9
2007,Florida,14.3,5.0,26.2,54.5
2008,Florida,12.8,4.7,26.1,56.4
2009,Florida,12.8,4.3,27.6,55.3
2010,Florida,12.0,5.2,29.8,53.0
