Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Georgia,18.4,1.9,18.1,61.6
1996,Georgia,17.3,3.0,14.2,65.6
1997,Georgia,17.6,4.8,15.3,62.3
1998,Georgia,19.7,3.9,21.9,54.5
1999,Georgia,18.3,5.4,22.5,53.7
2000,Georgia,18.4,5.1,22.7,53.8
2001,Georgia,17.5,6.1,21.2,55.1
2002,Georgia,17.7,5.6,22.4,54.3
2003,Georgia,16.5,6.2,21.7,55.6
2004,Georgia,15.0,5.0,20.9,59.1
2005,Georgia,16.4,5.8,21.9,56.0
2006,Georgia,14.1,5.8,21.2,58.8
2007,Georgia,14.7,4.7,22.7,57.9
2008,Georgia,14.5,5.0,21.4,59.1
2009,Georgia,12.6,5.1,22.0,60.3
2010,Georgia,12.8,4.8,23.1,59.3
