Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Hawaii,15.1,2.5,21.6,60.9
1996,Hawaii,18.3,4.0,24.1,53.7
1997,Hawaii,14.3,4.4,26.4,54.9
1998,Hawaii,15.8,3.7,26.1,54.4
1999,Hawaii,14.4,4.1,22.9,58.6
2000,Hawaii,15.8,3.9,24.2,56.2
2001,Hawaii,16.5,4.0,24.0,55.5
2002,Hawaii,17.1,3.9,24.3,54.7
2003,Hawaii,14.1,3.2,24.1,58.6
2005,Hawaii,12.1,4.9,26.2,56.8
2006,Hawaii,13.0,4.6,25.1,57.3
2007,Hawaii,12.9,4.1,26.0,57.0
2008,Hawaii,11.8,3.7,25.4,59.2
2009,Hawaii,10.4,5.0,26.9,57.7
2010,Hawaii,10.7,3.8,25.3,60.2
