Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Idaho,18.0,1.6,24.1,56.2
1996,Idaho,16.8,4.4,22.8,56.0
1997,Idaho,15.6,4.3,24.3,55.8
1998,Idaho,15.8,4.5,25.2,54.6
1999,Idaho,16.0,5.5,24.3,54.2
2000,Idaho,16.9,5.4,24.6,53.1
2001,Idaho,15.2,4.4,24.4,56.0
2002,Idaho,16.3,4.3,24.2,55.2
2003,Idaho,15.0,4.0,23.5,57.6
2004,Idaho,13.4,4.1,23.4,59.2
2005,Idaho,13.3,4.6,22.7,59.3
2006,Idaho,12.9,3.9,23.0,60.2
2007,Idaho,14.5,4.6,22.6,58.3
2008,Idaho,12.5,4.4,21.9,61.2
2009,Idaho,12.3,4.0,22.1,61.6
2010,Idaho,11.3,4.4,22.9,61.5
