Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Illinois,19.9,2.9,23.7,53.4
1996,Illinois,20.4,4.4,23.4,51.8
1997,Illinois,17.8,5.4,25.8,51.0
1998,Illinois,17.0,6.1,25.0,51.9
1999,Illinois,19.8,4.5,23.8,51.9
2000,Illinois,16.2,6.2,22.6,55.1
2001,Illinois,17.4,6.3,23.7,52.5
2002,Illinois,17.8,5.1,22.9,54.3
2003,Illinois,17.1,6.3,24.4,52.2
2004,Illinois,15.4,6.8,21.5,56.2
2005,Illinois,14.2,5.7,24.0,56.1
2006,Illinois,14.1,6.4,23.7,55.8
2007,Illinois,13.7,6.4,23.5,56.4
2008,Illinois,15.1,6.2,23.4,55.3
2009,Illinois,12.0,6.6,23.1,58.3
2010,Illinois,11.5,5.4,23.6,59.5
