Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Indiana,24.3,2.7,23.0,50.0
1996,Indiana,24.9,3.7,23.7,47.6
1997,Indiana,21.7,4.7,23.5,50.2
1998,Indiana,20.7,5.3,26.0,48.0
1999,Indiana,22.5,4.5,22.0,51.0
2000,Indiana,22.4,4.6,22.6,50.5
2001,Indiana,21.5,5.9,22.6,50.0
2002,Indiana,23.0,4.7,23.3,49.1
2003,Indiana,21.1,5.0,24.4,49.5
2004,Indiana,19.5,5.3,22.6,52.5
2005,Indiana,20.8,6.4,22.9,49.8
2006,Indiana,18.6,5.5,23.3,52.7
2007,Indiana,18.2,5.9,22.8,53.0
2008,Indiana,19.7,6.3,23.0,51.0
2009,Indiana,17.1,6.0,23.7,53.2
2010,Indiana,16.3,5.0,25.1,53.7
