Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Iowa,20.2,2.9,23.9,53.0
1996,Iowa,19.6,4.0,23.8,52.6
1997,Iowa,18.7,4.4,24.0,52.9
1998,Iowa,18.3,5.1,23.7,53.0
1999,Iowa,18.9,4.6,24.6,51.9
2000,Iowa,18.3,4.9,23.1,53.7
2001,Iowa,17.0,5.1,24.6,53.2
2002,Iowa,18.8,4.3,23.4,53.4
2003,Iowa,16.2,5.4,24.5,53.8
2004,Iowa,16.3,4.6,21.4,57.8
2005,Iowa,16.1,4.3,24.8,54.8
2006,Iowa,17.1,4.3,23.7,54.8
2007,Iowa,14.5,5.3,23.5,56.7
2008,Iowa,14.1,4.6,24.7,56.6
2009,Iowa,13.4,3.8,24.2,58.7
2010,Iowa,12.1,4.1,23.4,60.4
