Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Kansas,18.6,3.0,24.3,54.1
1996,Kansas,18.6,3.5,19.5,58.4
1997,Kansas,18.3,4.3,19.4,58.0
1998,Kansas,17.4,3.7,21.8,57.1
1999,Kansas,18.1,3.0,22.5,56.4
2000,Kansas,16.9,4.2,23.6,55.4
2001,Kansas,16.9,5.4,24.3,53.5
2002,Kansas,17.6,4.5,24.3,53.6
2003,Kansas,16.3,4.1,23.0,56.6
2004,Kansas,15.3,4.5,21.7,58.5
2005,Kansas,13.6,4.2,24.4,57.8
2006,Kansas,15.2,4.8,24.1,55.9
2007,Kansas,13.7,4.2,23.3,58.8
2008,Kansas,13.2,4.7,23.2,59.0
2009,Kansas,13.2,4.6,23.3,58.8
2010,Kansas,11.9,5.1,24.2,58.8
