Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Louisiana,21.1,4.0,22.3,52.7
1996,Louisiana,21.9,4.0,21.5,52.7
1997,Louisiana,19.2,5.3,21.9,53.6
1998,Louisiana,20.5,5.0,19.8,54.7
1999,Louisiana,18.7,4.8,20.7,55.8
2000,Louisiana,18.6,5.5,19.5,56.5
2001,Louisiana,19.0,5.6,19.9,55.4
2002,Louisiana,19.0,4.9,19.2,57.0
2003,Louisiana,20.4,6.2,20.7,52.7
2004,Louisiana,16.9,6.6,20.0,56.5
2005,Louisiana,16.4,6.1,21.0,56.5
2006,Louisiana,17.7,5.7,20.1,56.4
2007,Louisiana,16.9,5.7,20.2,57.1
2008,Louisiana,16.0,4.5,19.9,59.7
2009,Louisiana,16.4,5.7,23.2,54.7
2010,Louisiana,15.9,6.2,22.0,56.0
