Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Maine,22.2,2.5,27.2,48.1
1996,Maine,22.6,2.8,27.8,46.9
1997,Maine,19.8,2.9,31.0,46.3
1998,Maine,19.4,2.9,31.3,46.4
1999,Maine,19.8,3.5,29.5,47.2
2000,Maine,20.7,3.1,29.9,46.3
2001,Maine,18.2,5.7,31.9,44.2
2002,Maine,19.6,4.0,33.4,43.1
2003,Maine,19.7,3.9,31.1,45.2
2004,Maine,17.0,3.9,31.3,47.8
2005,Maine,15.9,4.9,30.1,49.1
2006,Maine,15.9,5.0,30.4,48.7
2007,Maine,16.2,4.0,30.8,49.1
2008,Maine,14.0,4.1,31.7,50.1
2009,Maine,12.5,4.7,31.1,51.6
2010,Maine,13.9,4.3,30.2,51.6
