Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Maryland,18.0,3.1,20.6,58.3
1996,Maryland,17.9,3.0,23.4,55.7
1997,Maryland,17.6,2.9,22.8,56.8
1998,Maryland,16.7,5.7,24.2,53.4
1999,Maryland,15.5,4.8,24.2,55.5
2000,Maryland,15.2,5.3,23.5,56.0
2001,Maryland,15.3,5.8,24.7,54.2
2002,Maryland,16.3,5.6,23.7,54.4
2003,Maryland,15.2,4.9,23.7,56.2
2004,Maryland,14.6,5.0,23.0,57.5
2005,Maryland,13.4,5.5,22.9,58.3
2006,Maryland,13.0,4.7,22.6,59.7
2007,Maryland,11.5,5.6,23.7,59.3
2008,Maryland,10.6,4.3,24.2,60.9
2009,Maryland,10.4,4.8,23.4,61.5
2010,Maryland,10.5,4.7,23.9,60.9
