Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Massachusetts,18.8,2.8,30.0,48.4
1996,Massachusetts,18.4,4.9,30.4,46.2
1997,Massachusetts,16.4,4.1,29.7,49.8
1998,Massachusetts,16.6,4.3,28.0,51.1
1999,Massachusetts,15.2,4.1,25.8,55.0
2000,Massachusetts,15.3,4.7,28.2,51.9
2001,Massachusetts,14.8,4.7,29.9,50.6
2002,Massachusetts,14.4,4.5,29.1,52.0
2003,Massachusetts,14.5,4.6,31.0,49.9
2004,Massachusetts,13.7,4.8,26.9,54.6
2005,Massachusetts,13.5,4.6,27.5,54.5
2006,Massachusetts,13.0,4.7,27.7,54.5
2007,Massachusetts,12.0,4.4,28.5,55.1
2008,Massachusetts,11.7,4.4,28.1,55.8
2009,Massachusetts,10.9,4.0,28.5,56.6
2010,Massachusetts,10.2,3.9,29.3,56.6
