Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Michigan,21.5,4.1,28.3,46.2
1996,Michigan,21.0,4.7,25.9,48.5
1997,Michigan,21.2,4.8,25.0,48.9
1998,Michigan,22.6,4.8,25.4,47.2
1999,Michigan,19.5,5.6,23.6,51.3
2000,Michigan,19.1,5.0,25.4,50.4
2001,Michigan,19.7,5.9,25.7,48.7
2002,Michigan,19.3,4.8,27.1,48.7
2003,Michigan,20.7,5.4,25.8,48.1
2004,Michigan,17.2,6.1,25.2,51.6
2005,Michigan,16.7,5.4,26.0,52.0
2006,Michigan,16.5,5.8,25.4,52.2
2007,Michigan,15.8,5.4,24.8,54.1
2008,Michigan,15.0,5.5,25.5,54.1
2009,Michigan,13.7,5.9,25.5,54.9
2010,Michigan,13.5,5.4,25.3,55.7
