Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Minnesota,17.4,2.9,23.6,56.1
1996,Minnesota,15.6,5.0,23.1,56.3
1997,Minnesota,16.7,5.2,22.4,55.7
1998,Minnesota,13.3,4.7,18.6,63.4
1999,Minnesota,15.1,4.4,20.0,60.5
2000,Minnesota,15.2,4.5,23.1,57.1
2001,Minnesota,16.9,5.3,28.3,49.5
2002,Minnesota,16.2,5.5,26.8,51.4
2003,Minnesota,15.9,5.2,28.3,50.6
2004,Minnesota,15.2,5.5,26.8,52.5
2005,Minnesota,14.9,5.1,28.7,51.2
2006,Minnesota,13.8,4.5,27.6,54.1
2007,Minnesota,12.4,4.1,27.6,55.9
2008,Minnesota,12.1,5.5,27.1,55.4
2009,Minnesota,11.3,5.5,26.4,56.8
2010,Minnesota,11.3,3.6,25.9,59.2
