Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Mississippi,20.5,2.8,20.8,55.8
1996,Mississippi,19.7,3.5,21.1,55.7
1997,Mississippi,19.0,4.1,21.3,55.6
1998,Mississippi,19.1,5.0,21.9,54.0
1999,Mississippi,18.5,4.4,20.3,56.8
2000,Mississippi,18.8,4.7,20.5,56.0
2001,Mississippi,19.6,5.7,21.1,53.6
2002,Mississippi,21.4,5.9,20.0,52.7
2003,Mississippi,19.7,5.8,20.7,53.8
2004,Mississippi,18.1,6.5,19.3,56.2
2005,Mississippi,18.6,5.1,20.9,55.5
2006,Mississippi,17.9,7.2,21.1,53.8
2007,Mississippi,18.5,5.4,21.2,54.8
2008,Mississippi,17.2,5.5,22.2,55.1
2009,Mississippi,17.1,6.3,22.1,54.6
2010,Mississippi,17.1,5.8,22.0,55.0
