Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Missouri,21.9,2.2,27.1,48.8
1996,Missouri,22.6,5.2,24.7,47.5
1997,Missouri,24.6,4.0,21.6,49.7
1998,Missouri,22.3,4.0,23.7,50.0
1999,Missouri,22.7,4.3,24.7,48.2
2000,Missouri,22.6,4.6,24.7,48.1
2001,Missouri,20.0,5.9,24.5,49.6
2002,Missouri,22.0,4.5,25.5,48.0
2003,Missouri,23.1,4.1,24.3,48.5
2004,Missouri,18.5,5.6,24.2,51.7
2005,Missouri,18.5,4.9,24.2,52.4
2006,Missouri,18.6,4.6,26.8,50.0
2007,Missouri,19.8,4.7,23.4,52.1
2008,Missouri,20.2,4.8,25.0,50.1
2009,Missouri,18.3,4.8,24.8,52.1
2010,Missouri,16.6,4.4,26.1,52.8
