Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Montana,18.9,2.2,29.2,49.8
1996,Montana,19.1,2.6,27.0,51.3
1997,Montana,18.0,2.5,26.6,52.9
1998,Montana,18.5,2.9,26.7,51.8
1999,Montana,16.0,4.2,27.7,52.1
2000,Montana,15.9,2.9,29.8,51.4
2001,Montana,16.6,5.4,27.3,50.8
2002,Montana,15.7,5.5,26.1,52.7
2003,Montana,14.8,5.1,28.4,51.6
2004,Montana,15.8,4.6,25.1,54.5
2005,Montana,14.5,4.7,28.5,52.3
2006,Montana,13.3,5.6,26.8,54.3
2007,Montana,14.8,4.6,26.6,53.9
2008,Montana,13.8,4.7,26.8,54.7
2009,Montana,12.2,4.6,26.4,56.8
2010,Montana,13.5,5.3,27.2,54.0
