Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,"Nationwide (States, DC, and Territories)",19.9,2.6,25.3,51.6
1996,"Nationwide (States, DC, and Territories)",19.5,4.0,23.8,52.2
1997,"Nationwide (States, DC, and Territories)",19.1,4.3,24.3,52.1
1998,"Nationwide (States, DC, and Territories)",18.5,4.6,24.3,52.2
1999,"Nationwide (States, DC, and Territories)",18.0,4.8,24.0,52.5
2000,"Nationwide (States, DC, and Territories)",17.6,5.1,24.3,52.6
2001,"Nationwide (States, DC, and Territories)",17.4,5.6,24.7,51.8
2002,"Nationwide (States, DC, and Territories)",17.8,5.0,24.4,52.3
2003,"Nationwide (States, DC, and Territories)",16.7,5.1,25.2,52.1
2004,"Nationwide (States, DC, and Territories)",15.6,5.4,24.0,55.0
2005,"Nationwide (States, DC, and Territories)",15.3,5.2,24.4,54.1
2006,"Nationwide (States, DC, and Territories)",14.7,5.1,24.5,54.5
2007,"Nationwide (States, DC, and Territories)",14.5,5.2,24.4,54.9
2008,"Nationwide (States, DC, and Territories)",13.4,4.9,25.1,55.5
2009,"Nationwide (States, DC, and Territories)",12.7,5.0,25.5,55.5
2010,"Nationwide (States, DC, and Territories)",12.3,4.8,24.7,56.8
