Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Nebraska,19.4,2.4,25.7,52.5
1996,Nebraska,19.5,2.6,23.6,54.3
1997,Nebraska,18.5,3.6,22.7,55.2
1998,Nebraska,17.4,4.6,24.4,53.5
1999,Nebraska,18.2,5.0,22.1,54.7
2000,Nebraska,16.5,4.8,24.3,54.5
2001,Nebraska,15.8,4.4,22.3,57.4
2002,Nebraska,17.8,4.9,22.9,54.4
2003,Nebraska,16.0,5.3,24.0,54.7
2004,Nebraska,14.9,5.4,21.2,58.6
2005,Nebraska,16.1,5.2,22.7,56.1
2006,Nebraska,13.8,4.8,23.8,57.5
2007,Nebraska,14.5,5.5,23.8,56.2
2008,Nebraska,13.4,4.9,25.0,56.6
2009,Nebraska,12.9,3.8,24.6,58.7
2010,Nebraska,12.5,4.7,25.2,57.6
