Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Nevada,23.3,2.5,26.8,47.4
1996,Nevada,25.1,3.0,26.8,45.0
1997,Nevada,23.4,4.6,25.4,46.6
1998,Nevada,23.6,6.7,24.0,45.6
1999,Nevada,24.3,7.2,29.0,39.5
2000,Nevada,22.0,7.1,26.7,44.3
2001,Nevada,20.8,6.1,26.2,46.9
2002,Nevada,21.1,5.0,24.7,49.2
2003,Nevada,20.3,4.9,25.2,49.7
2004,Nevada,16.5,6.8,24.4,52.3
2005,Nevada,16.6,6.5,24.0,52.9
2006,Nevada,15.6,6.5,25.6,52.3
2007,Nevada,16.1,5.3,25.4,53.1
2008,Nevada,16.4,5.8,25.1,52.7
2009,Nevada,15.8,6.3,26.5,51.4
2010,Nevada,16.5,4.9,25.8,52.8
