Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,New Hampshire,18.8,2.3,32.7,46.2
1996,New Hampshire,20.6,4.2,29.1,46.1
1997,New Hampshire,20.0,4.7,31.3,44.0
1998,New Hampshire,18.2,5.0,28.5,48.2
1999,New Hampshire,18.0,4.3,29.0,48.7
2000,New Hampshire,19.7,5.6,29.7,45.0
2001,New Hampshire,19.0,5.1,28.8,47.1
2002,New Hampshire,18.6,4.6,30.2,46.6
2003,New Hampshire,17.0,4.2,31.0,47.8
2004,New Hampshire,16.5,5.1,28.5,49.8
2005,New Hampshire,15.4,5.0,29.5,50.1
2006,New Hampshire,14.3,4.4,29.7,51.6
2007,New Hampshire,15.1,4.2,30.3,50.4
2008,New Hampshire,12.8,4.2,31.1,51.9
2009,New Hampshire,11.3,4.5,29.4,54.9
2010,New Hampshire,12.4,4.5,30.7,52.4
