Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,New Jersey,15.3,3.7,25.3,55.7
1996,New Jersey,17.8,4.9,24.7,52.6
1997,New Jersey,16.6,4.7,26.2,52.4
1998,New Jersey,15.2,3.9,26.4,54.5
1999,New Jersey,14.6,6.0,21.3,58.1
2000,New Jersey,14.8,6.2,22.4,56.6
2001,New Jersey,15.0,6.1,26.2,52.7
2002,New Jersey,14.0,5.0,26.0,55.0
2003,New Jersey,14.0,5.4,26.3,54.3
2004,New Jersey,13.0,5.8,24.4,56.8
2005,New Jersey,12.8,5.2,25.5,56.5
2006,New Jersey,12.3,5.7,24.1,57.9
2007,New Jersey,12.0,5.1,24.7,58.2
2008,New Jersey,10.7,4.1,24.3,60.9
2009,New Jersey,10.0,5.8,25.4,58.8
2010,New Jersey,10.2,4.2,26.1,59.4
