Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,New Mexico,17.6,3.1,27.7,51.7
1996,New Mexico,16.7,6.2,24.2,53.0
1997,New Mexico,15.5,6.5,25.3,52.6
1998,New Mexico,16.2,6.4,24.3,53.2
1999,New Mexico,16.4,6.0,24.6,52.9
2000,New Mexico,16.9,6.6,25.8,50.6
2001,New Mexico,16.1,7.7,24.9,51.2
2002,New Mexico,15.0,6.2,26.0,52.8
2003,New Mexico,15.8,6.2,25.9,52.1
2004,New Mexico,13.2,7.1,24.1,55.6
2005,New Mexico,14.6,6.9,24.4,54.1
2006,New Mexico,13.8,6.4,24.7,55.1
2007,New Mexico,13.1,7.6,24.8,54.4
2008,New Mexico,12.8,6.6,24.9,55.7
2009,New Mexico,11.2,6.7,25.8,56.2
2010,New Mexico,11.4,7.1,24.7,56.9
