Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,New York,19.1,2.2,25.3,53.4
1996,New York,19.2,4.0,23.7,53.1
1997,New York,19.1,4.0,23.7,53.2
1998,New York,18.4,5.7,24.3,51.6
1999,New York,17.0,4.8,23.1,55.1
2000,New York,15.9,5.7,25.6,52.9
2001,New York,16.6,6.6,23.8,53.0
2002,New York,16.9,5.4,25.0,52.7
2003,New York,16.5,5.1,25.4,53.0
2004,New York,14.2,5.7,24.2,55.9
2005,New York,14.6,5.9,25.6,54.0
2006,New York,13.4,4.9,24.5,57.3
2007,New York,12.8,6.1,25.5,55.6
2008,New York,11.8,5.0,25.4,57.8
2009,New York,12.1,5.9,26.3,55.7
2010,New York,10.5,5.0,26.8,57.8
