Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,North Carolina,23.0,2.7,22.6,51.6
1996,North Carolina,21.9,3.8,23.1,51.2
1997,North Carolina,21.0,4.9,22.4,51.8
1998,North Carolina,20.5,4.2,23.4,51.9
1999,North Carolina,21.0,4.2,23.2,51.6
2000,North Carolina,20.7,5.4,24.3,49.6
2001,North Carolina,21.3,4.5,23.8,50.4
2002,North Carolina,21.2,5.1,24.1,49.7
2003,North Carolina,18.8,6.0,23.2,52.0
2004,North Carolina,17.6,5.5,21.2,55.6
2005,North Carolina,17.1,5.5,23.6,53.8
2006,North Carolina,17.0,5.1,24.1,53.9
2007,North Carolina,17.6,5.3,24.8,52.3
2008,North Carolina,15.5,5.4,24.8,54.3
2009,North Carolina,14.4,5.9,26.2,53.5
2010,North Carolina,14.3,5.4,24.5,55.8
