Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,North Dakota,20.1,2.5,24.2,53.2
1996,North Dakota,19.5,3.9,25.5,51.2
1997,North Dakota,19.7,2.6,24.4,53.3
1998,North Dakota,17.0,3.0,28.2,51.8
1999,North Dakota,17.0,5.1,24.7,53.1
2000,North Dakota,17.5,5.8,23.4,53.4
2001,North Dakota,15.6,6.5,24.8,53.1
2002,North Dakota,16.4,5.1,26.5,52.0
2003,North Dakota,16.1,4.4,25.6,53.9
2004,North Dakota,14.8,5.1,23.6,56.5
2005,North Dakota,15.0,5.2,25.5,54.4
2006,North Dakota,15.6,3.9,24.1,56.4
2007,North Dakota,15.1,5.9,25.3,53.8
2008,North Dakota,13.3,4.8,25.4,56.5
2009,North Dakota,13.4,5.2,24.0,57.4
2010,North Dakota,12.2,5.1,24.1,58.6
