Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Ohio,23.6,2.2,24.0,50.2
1996,Ohio,25.7,2.7,21.4,50.2
1997,Ohio,23.2,1.9,22.7,52.2
1998,Ohio,21.6,4.5,23.6,50.3
1999,Ohio,23.6,4.0,24.0,48.4
2000,Ohio,21.1,5.1,23.2,50.6
2001,Ohio,21.9,5.8,23.4,49.0
2002,Ohio,21.4,5.2,24.7,48.7
2003,Ohio,19.5,5.7,23.8,51.0
2004,Ohio,20.8,5.0,22.1,52.0
2005,Ohio,17.6,4.8,25.8,51.9
2006,Ohio,16.8,5.6,24.3,53.3
2007,Ohio,17.7,5.4,24.8,52.1
2008,Ohio,15.5,4.6,25.4,54.4
2009,Ohio,15.6,4.7,25.8,53.8
2010,Ohio,17.1,5.4,24.6,52.9
