Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Oklahoma,20.2,1.3,17.4,61.2
1996,Oklahoma,21.5,2.5,18.4,57.5
1997,Oklahoma,21.4,3.2,19.1,56.3
1998,Oklahoma,20.2,3.6,19.6,56.5
1999,Oklahoma,22.4,2.8,18.7,56.1
2000,Oklahoma,19.8,3.5,19.3,57.4
2001,Oklahoma,23.1,5.6,21.8,49.5
2002,Oklahoma,21.8,4.8,21.8,51.6
2003,Oklahoma,20.3,4.8,22.1,52.7
2004,Oklahoma,19.9,6.2,22.5,51.4
2005,Oklahoma,19.0,6.0,24.0,50.9
2006,Oklahoma,18.9,6.2,23.7,51.2
2007,Oklahoma,20.0,5.8,23.2,51.0
2008,Oklahoma,18.5,6.2,24.7,50.6
2009,Oklahoma,18.8,6.7,24.5,50.0
2010,Oklahoma,17.5,6.2,24.3,52.0
