Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Oregon,18.5,3.2,28.4,49.9
1996,Oregon,19.1,4.3,27.7,48.9
1997,Oregon,16.2,4.5,30.4,48.9
1998,Oregon,16.3,4.8,27.4,51.6
1999,Oregon,16.1,5.4,28.1,50.5
2000,Oregon,15.3,5.4,28.3,50.9
2001,Oregon,15.0,5.5,28.7,50.9
2002,Oregon,17.3,5.1,28.1,49.4
2003,Oregon,15.8,5.2,26.7,52.4
2004,Oregon,14.3,5.8,24.7,55.3
2005,Oregon,13.4,5.1,27.4,54.0
2006,Oregon,13.6,4.8,25.7,55.8
2007,Oregon,13.1,3.8,28.2,54.9
2008,Oregon,11.8,4.5,24.7,59.0
2009,Oregon,13.1,4.7,27.6,54.5
2010,Oregon,11.0,4.1,28.2,56.7
