Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Pennsylvania,20.4,3.3,28.3,48.0
1996,Pennsylvania,20.3,4.2,23.2,52.3
1997,Pennsylvania,20.0,4.2,22.7,53.1
1998,Pennsylvania,19.4,4.4,22.9,53.3
1999,Pennsylvania,18.4,4.7,23.3,53.6
2000,Pennsylvania,19.3,5.1,24.5,51.1
2001,Pennsylvania,18.9,5.6,24.2,51.3
2002,Pennsylvania,19.5,5.1,25.7,49.7
2003,Pennsylvania,20.2,5.3,25.2,49.4
2004,Pennsylvania,17.5,5.3,23.9,53.4
2005,Pennsylvania,17.9,5.7,25.4,51.0
2006,Pennsylvania,16.6,4.9,25.5,53.0
2007,Pennsylvania,15.1,5.8,23.9,55.1
2008,Pennsylvania,15.6,5.7,25.3,53.3
2009,Pennsylvania,15.1,5.1,26.0,53.7
2010,Pennsylvania,13.4,5.0,26.2,55.4
