Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1996,Puerto Rico,9.4,5.1,16.0,69.5
1997,Puerto Rico,9.4,5.0,15.7,69.9
1998,Puerto Rico,10.1,5.2,16.8,67.9
1999,Puerto Rico,9.7,4.0,15.3,71.0
2000,Puerto Rico,9.2,3.9,15.2,71.6
2001,Puerto Rico,8.0,4.5,17.0,70.5
2002,Puerto Rico,8.8,4.4,16.9,69.8
2003,Puerto Rico,8.9,4.6,17.7,68.8
2004,Puerto Rico,8.2,4.4,15.2,72.2
2005,Puerto Rico,7.9,5.2,16.9,70.0
2006,Puerto Rico,7.7,4.8,16.8,70.7
2007,Puerto Rico,7.5,4.7,19.2,68.6
2008,Puerto Rico,7.5,4.1,18.3,70.1
2009,Puerto Rico,6.9,3.7,18.0,71.5
2010,Puerto Rico,7.5,4.4,17.3,70.8
