Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,South Carolina,20.9,2.5,20.4,56.1
1996,South Carolina,21.4,3.0,20.2,55.3
1997,South Carolina,20.2,3.2,20.0,56.6
1998,South Carolina,19.6,5.1,20.7,54.6
1999,South Carolina,18.0,5.6,20.4,56.0
2000,South Carolina,18.8,6.2,21.9,53.2
2001,South Carolina,19.3,6.7,21.3,52.6
2002,South Carolina,21.0,5.6,22.6,50.9
2003,South Carolina,19.6,5.9,23.0,51.5
2004,South Carolina,18.0,6.4,21.9,53.8
2005,South Carolina,17.0,5.5,24.4,53.1
2006,South Carolina,16.5,5.8,24.5,53.3
2007,South Carolina,16.2,5.7,25.0,53.1
2008,South Carolina,14.4,5.6,25.2,54.7
2009,South Carolina,14.6,5.7,24.5,55.2
2010,South Carolina,14.0,7.0,24.1,54.9
