Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,South Dakota,19.8,1.9,24.0,54.2
1996,South Dakota,17.9,2.8,25.2,54.1
1997,South Dakota,18.8,5.6,25.8,49.9
1998,South Dakota,22.0,5.2,20.4,52.4
1999,South Dakota,17.6,4.8,25.1,52.4
2000,South Dakota,16.8,5.1,24.6,53.5
2001,South Dakota,16.6,5.8,25.2,52.5
2002,South Dakota,17.5,5.1,22.4,55.0
2003,South Dakota,16.4,6.3,25.3,52.0
2004,South Dakota,14.1,6.3,23.6,56.0
2005,South Dakota,13.8,6.0,25.4,54.8
2006,South Dakota,14.7,5.6,24.8,54.8
2007,South Dakota,14.2,5.6,24.3,55.9
2008,South Dakota,12.0,5.6,26.1,56.4
2009,South Dakota,12.5,5.0,27.2,55.3
2010,South Dakota,11.3,4.1,27.0,57.6
