Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Tennessee,24.2,1.9,19.8,54.1
1996,Tennessee,25.0,2.9,19.9,52.2
1997,Tennessee,23.7,3.3,21.3,51.7
1998,Tennessee,22.7,3.3,21.5,52.4
1999,Tennessee,21.9,2.9,20.7,54.4
2000,Tennessee,21.6,4.0,22.2,52.1
2001,Tennessee,19.7,4.7,19.1,56.6
2002,Tennessee,22.9,4.9,18.7,53.6
2003,Tennessee,21.1,4.5,18.9,55.4
2004,Tennessee,21.5,4.6,22.2,51.7
2005,Tennessee,20.4,6.3,22.0,51.3
2006,Tennessee,18.4,4.1,23.5,53.9
2007,Tennessee,20.0,4.3,24.0,51.8
2008,Tennessee,18.0,5.1,21.8,55.0
2009,Tennessee,17.6,4.4,24.7,53.3
2010,Tennessee,15.7,4.4,22.9,57.0
