Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Texas,19.9,3.6,23.7,52.8
1996,Texas,17.0,5.9,21.2,55.9
1997,Texas,16.2,6.3,20.3,57.1
1998,Texas,15.6,6.3,22.6,55.5
1999,Texas,15.0,7.5,23.3,54.3
2000,Texas,15.4,6.5,21.9,56.2
2001,Texas,15.5,6.9,20.7,56.9
2002,Texas,16.6,6.2,20.9,56.2
2003,Texas,15.6,6.5,21.6,56.3
2004,Texas,13.6,6.9,20.2,59.3
2005,Texas,13.2,6.8,21.0,59.0
2006,Texas,12.6,5.3,21.7,60.4
2007,Texas,13.0,6.4,20.7,60.0
2008,Texas,11.7,6.8,21.5,60.0
2009,Texas,11.7,6.2,21.6,60.5
2010,Texas,10.5,5.3,21.3,62.9
