Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Vermont,18.9,3.2,31.5,46.5
1996,Vermont,18.9,5.2,29.2,46.7
1997,Vermont,19.5,3.8,29.1,47.7
1998,Vermont,18.6,3.7,28.6,49.1
1999,Vermont,16.9,4.8,26.7,51.6
2000,Vermont,16.5,4.9,30.0,48.5
2001,Vermont,16.9,5.5,30.0,47.6
2002,Vermont,16.7,4.4,32.3,46.5
2003,Vermont,15.4,4.2,30.4,50.1
2004,Vermont,15.0,5.0,30.6,49.4
2005,Vermont,14.4,4.9,30.8,50.0
2006,Vermont,14.0,4.0,30.9,51.1
2007,Vermont,13.8,3.8,30.7,51.7
2008,Vermont,12.2,4.6,32.2,51.1
2009,Vermont,12.5,4.6,31.6,51.3
2010,Vermont,11.1,4.2,30.7,54.0
