Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Virginia,18.7,2.7,25.2,53.5
1996,Virginia,19.6,5.2,22.9,52.3
1997,Virginia,18.8,5.6,25.8,49.8
1998,Virginia,18.1,4.8,23.2,53.9
1999,Virginia,17.0,4.3,25.3,53.3
2000,Virginia,16.1,5.3,23.3,55.3
2001,Virginia,17.9,4.7,24.7,52.8
2002,Virginia,19.4,5.3,22.4,53.0
2003,Virginia,17.2,4.8,24.0,54.0
2004,Virginia,15.9,5.0,23.3,55.8
2005,Virginia,15.3,5.3,24.1,55.2
2006,Virginia,14.7,4.6,25.2,55.5
2007,Virginia,14.1,4.4,23.5,58.0
2008,Virginia,12.4,4.1,24.0,59.5
2009,Virginia,13.8,5.2,24.4,56.5
2010,Virginia,14.5,4.0,24.4,57.0
