Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Washington,17.5,2.4,29.9,50.2
1996,Washington,19.1,4.4,26.8,49.7
1997,Washington,18.6,5.2,26.9,49.3
1998,Washington,16.9,4.5,27.6,51.1
1999,Washington,17.0,5.3,26.8,50.8
2000,Washington,14.8,5.9,28.8,50.5
2001,Washington,16.4,6.0,27.6,49.9
2002,Washington,16.4,5.0,28.5,50.1
2003,Washington,14.6,5.0,26.2,54.2
2004,Washington,14.0,5.3,25.3,55.5
2005,Washington,12.5,5.0,27.3,55.1
2006,Washington,12.3,4.7,26.4,56.6
2007,Washington,12.2,4.6,26.2,57.0
2008,Washington,11.7,4.0,26.7,57.6
2009,Washington,10.7,4.2,26.7,58.4
2010,Washington,11.0,4.2,25.5,59.3
