Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,West Virginia,23.7,1.9,23.3,51.1
1996,West Virginia,23.9,2.8,22.9,50.5
1997,West Virginia,24.5,2.9,24.3,48.2
1998,West Virginia,24.9,3.1,23.8,48.3
1999,West Virginia,23.8,3.3,23.8,49.0
2000,West Virginia,23.1,3.0,25.3,48.5
2001,West Virginia,23.5,4.6,24.7,47.1
2002,West Virginia,23.8,4.7,24.2,47.4
2003,West Virginia,22.6,4.8,25.8,46.9
2004,West Virginia,21.8,5.1,25.1,48.0
2005,West Virginia,21.3,5.4,24.3,49.0
2006,West Virginia,21.3,4.5,24.7,49.6
2007,West Virginia,21.7,5.2,24.5,48.6
2008,West Virginia,21.5,5.1,25.4,48.1
2009,West Virginia,20.7,4.9,24.5,49.9
2010,West Virginia,23.2,3.6,24.4,48.8
