Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Wisconsin,18.2,3.5,27.6,50.7
1996,Wisconsin,19.7,5.2,25.9,49.2
1997,Wisconsin,19.7,3.5,25.3,51.5
1998,Wisconsin,18.7,4.7,29.4,47.2
1999,Wisconsin,17.9,5.8,28.6,47.7
2000,Wisconsin,18.1,6.0,27.1,48.8
2001,Wisconsin,18.2,5.4,28.7,47.8
2002,Wisconsin,18.5,4.9,27.3,49.4
2003,Wisconsin,17.3,4.7,27.3,50.7
2004,Wisconsin,16.5,5.4,24.3,53.8
2005,Wisconsin,15.9,4.9,26.1,53.2
2006,Wisconsin,15.2,5.6,26.0,53.2
2007,Wisconsin,14.6,5.0,25.9,54.5
2008,Wisconsin,14.1,5.7,26.7,53.5
2009,Wisconsin,12.6,6.1,26.9,54.3
2010,Wisconsin,13.6,5.5,26.3,54.6
