Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995,Wyoming,19.1,2.9,26.8,51.2
1996,Wyoming,20.1,4.5,25.1,50.3
1997,Wyoming,19.5,4.5,25.4,50.6
1998,Wyoming,19.0,3.9,25.2,52.0
1999,Wyoming,19.1,4.8,24.9,51.2
2000,Wyoming,18.2,5.6,25.1,51.1
2001,Wyoming,17.3,4.9,26.0,51.9
2002,Wyoming,19.2,4.4,26.5,49.8
2003,Wyoming,19.8,4.8,26.2,49.1
2004,Wyoming,16.5,5.2,24.9,53.4
2005,Wyoming,16.3,5.1,26.7,51.9
2006,Wyoming,16.4,5.2,24.9,53.5
2007,Wyoming,17.5,4.6,24.8,53.1
2008,Wyoming,14.9,4.5,25.4,55.2
2009,Wyoming,15.3,4.6,26.1,54.0
2010,Wyoming,14.9,4.6,24.6,55.9
