Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Arizona,20.3,2.4,25.6,51.7
1996-01-01,Arizona,19.9,3.9,25.1,51.2
1997-01-01,Arizona,18.4,2.7,13.6,65.3
1998-01-01,Arizona,19.8,2.1,17.3,60.9
1999-01-01,Arizona,17.9,2.2,17.8,62.1
2000-01-01,Arizona,13.5,5.2,21.7,59.7
2001-01-01,Arizona,15.5,6.0,25.4,53.0
2002-01-01,Arizona,17.8,5.6,24.4,52.2
2003-01-01,Arizona,15.4,5.5,26.2,53.0
2004-01-01,Arizona,13.5,5.1,24.5,57.0
2005-01-01,Arizona,13.7,6.6,25.5,54.3
2006-01-01,Arizona,12.1,6.1,24.9,56.9
2007-01-01,Arizona,13.6,6.1,24.0,56.2
2008-01-01,Arizona,10.7,5.2,27.4,56.7
2009-01-01,Arizona,11.0,5.1,26.0,57.8
2010-01-01,Arizona,10.7,4.4,27.9,57.1
2011-01-01,Arizona,10.65,5.623,26.36,57.32
2012-01-01,Arizona,10.87,5.843,27.86,55.39
2013-01-01,Arizona,10.98,5.99,27.98,55.03
2014-01-01,Arizona,11.07,6.041,27.98,54.88
2015-01-01,Arizona,11.15,6.052,27.93,54.84
2016-01-01,Arizona,11.22,6.045,27.87,54.84
2017-01-01,Arizona,11.28,6.032,27.81,54.86
2018-01-01,Arizona,11.33,6.018,27.75,54.88
2019-01-01,Arizona,11.37,6.004,27.69,54.91
