Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Arkansas,22.7,2.3,23.5,51.5
1996-01-01,Arkansas,21.9,3.4,18.0,56.7
1997-01-01,Arkansas,24.8,3.7,20.2,51.4
1998-01-01,Arkansas,22.2,3.7,24.2,49.9
1999-01-01,Arkansas,22.6,4.6,23.1,49.7
2000-01-01,Arkansas,19.9,5.2,24.5,50.4
2001-01-01,Arkansas,20.1,5.4,23.6,50.8
2002-01-01,Arkansas,21.5,4.8,24.9,48.8
2003-01-01,Arkansas,20.5,4.2,25.4,49.8
2004-01-01,Arkansas,19.4,6.2,24.7,49.8
2005-01-01,Arkansas,18.1,5.4,24.9,51.6
2006-01-01,Arkansas,18.8,4.8,25.1,51.2
2007-01-01,Arkansas,17.3,5.1,23.7,53.9
2008-01-01,Arkansas,17.0,5.4,26.3,51.4
2009-01-01,Arkansas,15.5,5.9,28.1,50.4
2010-01-01,Arkansas,17.3,5.6,24.1,53.0
2011-01-01,Arkansas,18.08,5.321,25.38,51.2
2012-01-01,Arkansas,17.87,5.346,25.25,51.49
2013-01-01,Arkansas,18.12,5.374,25.02,51.46
2014-01-01,Arkansas,18.18,5.33,25.18,51.28
2015-01-01,Arkansas,18.2,5.337,25.1,51.33
2016-01-01,Arkansas,18.26,5.329,25.09,51.3
2017-01-01,Arkansas,18.27,5.322,25.09,51.28
2018-01-01,Arkansas,18.29,5.32,25.08,51.28
2019-01-01,Arkansas,18.31,5.317,25.07,51.27
