Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,California,12.7,2.5,28.2,56.7
1996-01-01,California,13.0,5.6,25.0,56.4
1997-01-01,California,12.6,5.9,26.9,54.6
1998-01-01,California,13.6,5.6,26.2,54.6
1999-01-01,California,12.5,6.2,26.4,54.9
2000-01-01,California,12.1,5.1,26.0,56.7
2001-01-01,California,12.1,5.1,25.9,56.9
2002-01-01,California,11.1,5.3,23.9,59.6
2003-01-01,California,11.3,5.5,25.2,58.0
2004-01-01,California,10.0,4.7,24.2,61.1
2005-01-01,California,9.8,5.3,23.3,61.5
2006-01-01,California,9.4,5.5,24.2,60.8
2007-01-01,California,8.8,5.5,22.9,62.8
2008-01-01,California,8.9,5.1,23.3,62.7
2009-01-01,California,8.1,4.7,23.2,63.9
2010-01-01,California,7.5,4.6,23.1,64.8
2011-01-01,California,7.1,4.589,21.71,66.53
2012-01-01,California,6.55,4.788,21.86,66.74
2013-01-01,California,6.06,4.539,21.32,68.01
2014-01-01,California,5.53,4.53,21.0,68.86
2015-01-01,California,4.99,4.423,20.59,69.91
2016-01-01,California,4.43,4.346,20.2,70.94
2017-01-01,California,3.85,4.255,19.78,72.02
2018-01-01,California,3.26,4.165,19.36,73.13
2019-01-01,California,2.64,4.07,18.92,74.28
