Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Colorado,17.9,3.6,27.4,51.1
1996-01-01,Colorado,16.7,6.1,24.2,53.1
1997-01-01,Colorado,17.0,5.5,25.5,51.9
1998-01-01,Colorado,17.1,5.7,24.3,52.9
1999-01-01,Colorado,17.5,4.9,25.8,51.7
2000-01-01,Colorado,15.0,5.0,26.2,53.8
2001-01-01,Colorado,15.4,6.9,26.0,51.7
2002-01-01,Colorado,15.6,4.7,25.6,54.0
2003-01-01,Colorado,13.8,4.7,27.2,54.2
2004-01-01,Colorado,13.8,6.2,24.4,55.6
2005-01-01,Colorado,13.5,6.3,24.8,55.4
2006-01-01,Colorado,12.3,5.6,24.5,57.6
2007-01-01,Colorado,13.4,5.3,24.6,56.7
2008-01-01,Colorado,12.3,5.4,24.9,57.5
2009-01-01,Colorado,12.1,5.0,25.5,57.4
2010-01-01,Colorado,11.4,4.6,24.7,59.3
2011-01-01,Colorado,10.71,5.316,24.99,59.03
2012-01-01,Colorado,10.72,5.458,24.69,59.15
2013-01-01,Colorado,10.66,5.349,24.79,59.22
2014-01-01,Colorado,10.51,5.36,24.78,59.37
2015-01-01,Colorado,10.41,5.365,24.75,59.49
2016-01-01,Colorado,10.31,5.361,24.74,59.61
2017-01-01,Colorado,10.22,5.36,24.73,59.71
2018-01-01,Colorado,10.13,5.359,24.72,59.81
2019-01-01,Colorado,10.06,5.357,24.71,59.89
