Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Connecticut,18.6,2.0,28.8,50.7
1996-01-01,Connecticut,17.4,4.4,28.2,50.0
1997-01-01,Connecticut,17.2,4.4,29.1,49.3
1998-01-01,Connecticut,15.3,5.6,28.2,50.9
1999-01-01,Connecticut,17.5,5.3,25.3,51.9
2000-01-01,Connecticut,15.3,4.6,27.8,52.3
2001-01-01,Connecticut,14.9,5.8,28.9,50.5
2002-01-01,Connecticut,14.4,5.0,30.4,50.2
2003-01-01,Connecticut,13.9,4.7,31.2,50.2
2004-01-01,Connecticut,13.2,4.9,30.0,51.9
2005-01-01,Connecticut,12.4,4.1,29.4,54.1
2006-01-01,Connecticut,11.9,5.1,28.2,54.8
2007-01-01,Connecticut,11.3,4.1,30.5,54.1
2008-01-01,Connecticut,11.6,4.3,30.1,54.0
2009-01-01,Connecticut,10.7,4.7,28.2,56.3
2010-01-01,Connecticut,9.2,4.0,29.2,57.6
2011-01-01,Connecticut,8.51,4.019,29.68,57.75
2012-01-01,Connecticut,7.84,3.996,29.79,58.33
2013-01-01,Connecticut,7.19,3.922,29.9,58.94
2014-01-01,Connecticut,6.55,3.842,30.0,59.56
2015-01-01,Connecticut,5.89,3.758,30.1,60.2
2016-01-01,Connecticut,5.23,3.674,30.19,60.85
2017-01-01,Connecticut,4.56,3.587,30.28,61.51
2018-01-01,Connecticut,3.88,3.5,30.38,62.18
2019-01-01,Connecticut,3.19,3.411,30.47,62.86
