Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Delaware,23.0,2.3,25.8,48.9
1996-01-01,Delaware,21.0,3.3,26.8,49.0
1997-01-01,Delaware,22.3,4.3,26.5,46.9
1998-01-01,Delaware,20.7,3.7,24.5,51.0
1999-01-01,Delaware,20.7,4.8,23.9,50.6
2000-01-01,Delaware,18.6,4.2,23.9,53.2
2001-01-01,Delaware,19.0,6.0,25.4,49.5
2002-01-01,Delaware,19.5,5.1,26.3,49.0
2003-01-01,Delaware,16.9,5.0,28.1,50.0
2004-01-01,Delaware,18.8,5.6,25.2,50.5
2005-01-01,Delaware,15.5,5.2,27.2,52.1
2006-01-01,Delaware,16.7,5.1,27.3,50.9
2007-01-01,Delaware,15.1,3.8,26.1,54.9
2008-01-01,Delaware,13.4,4.4,28.5,53.7
2009-01-01,Delaware,13.3,5.0,28.4,53.4
2010-01-01,Delaware,12.8,4.5,26.8,56.0
2011-01-01,Delaware,12.13,5.004,27.51,55.41
2012-01-01,Delaware,11.82,5.147,27.76,55.32
2013-01-01,Delaware,11.61,5.182,27.87,55.39
2014-01-01,Delaware,11.44,5.195,27.92,55.49
2015-01-01,Delaware,11.28,5.203,27.97,55.6
2016-01-01,Delaware,11.14,5.211,28.01,55.69
2017-01-01,Delaware,11.01,5.218,28.05,55.78
2018-01-01,Delaware,10.89,5.226,28.08,55.87
2019-01-01,Delaware,10.77,5.233,28.11,55.94
