Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1996-01-01,District of Columbia,14.9,5.6,17.8,61.7
1997-01-01,District of Columbia,11.8,7.0,15.8,65.4
1998-01-01,District of Columbia,15.1,6.6,17.0,61.3
1999-01-01,District of Columbia,13.4,7.1,16.1,63.3
2000-01-01,District of Columbia,13.9,7.0,22.0,57.1
2001-01-01,District of Columbia,12.2,8.5,23.3,55.9
2002-01-01,District of Columbia,13.4,7.0,20.4,59.2
2003-01-01,District of Columbia,13.9,8.1,22.2,55.8
2004-01-01,District of Columbia,12.5,8.4,19.2,59.9
2005-01-01,District of Columbia,11.6,8.5,21.5,58.5
2006-01-01,District of Columbia,10.6,7.3,22.1,60.0
2007-01-01,District of Columbia,11.1,6.1,22.4,60.4
2008-01-01,District of Columbia,9.3,7.0,22.5,61.2
2009-01-01,District of Columbia,9.1,6.2,24.2,60.6
2010-01-01,District of Columbia,10.0,5.7,23.4,61.0
2011-01-01,District of Columbia,9.0,6.089,22.66,62.28
2012-01-01,District of Columbia,9.55,5.663,23.46,61.38
2013-01-01,District of Columbia,9.02,5.847,23.14,62.03
2014-01-01,District of Columbia,9.22,5.638,23.53,61.67
2015-01-01,District of Columbia,8.94,5.698,23.41,62.01
2016-01-01,District of Columbia,8.98,5.581,23.61,61.88
2017-01-01,District of Columbia,8.82,5.587,23.59,62.06
2018-01-01,District of Columbia,8.8,5.514,23.71,62.03
2019-01-01,District of Columbia,8.7,5.498,23.72,62.14
