Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Florida,20.3,2.7,28.5,48.5
1996-01-01,Florida,18.1,3.7,30.7,47.5
1997-01-01,Florida,19.8,3.8,26.4,50.0
1998-01-01,Florida,18.0,4.0,26.1,51.9
1999-01-01,Florida,16.3,4.3,26.8,52.6
2000-01-01,Florida,17.7,5.5,27.4,49.4
2001-01-01,Florida,17.5,4.9,27.5,50.1
2002-01-01,Florida,17.8,4.2,25.1,52.9
2003-01-01,Florida,17.4,6.5,26.8,49.3
2004-01-01,Florida,14.6,5.7,25.8,53.9
2005-01-01,Florida,15.2,6.5,26.7,51.6
2006-01-01,Florida,16.0,5.1,26.1,52.9
2007-01-01,Florida,14.3,5.0,26.2,54.5
2008-01-01,Florida,12.8,4.7,26.1,56.4
2009-01-01,Florida,12.8,4.3,27.6,55.3
2010-01-01,Florida,12.0,5.2,29.8,53.0
2011-01-01,Florida,13.7,4.329,28.01,53.97
2012-01-01,Florida,14.05,4.504,28.09,53.34
2013-01-01,Florida,14.55,4.567,27.95,52.92
2014-01-01,Florida,14.84,4.6,27.74,52.81
2015-01-01,Florida,14.99,4.663,27.62,52.72
2016-01-01,Florida,15.06,4.714,27.51,52.71
2017-01-01,Florida,15.07,4.757,27.43,52.74
2018-01-01,Florida,15.04,4.791,27.38,52.78
2019-01-01,Florida,15.01,4.816,27.34,52.83
