Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Georgia,18.4,1.9,18.1,61.6
1996-01-01,Georgia,17.3,3.0,14.2,65.6
1997-01-01,Georgia,17.6,4.8,15.3,62.3
1998-01-01,Georgia,19.7,3.9,21.9,54.5
1999-01-01,Georgia,18.3,5.4,22.5,53.7
2000-01-01,Georgia,18.4,5.1,22.7,53.8
2001-01-01,Georgia,17.5,6.1,21.2,55.1
2002-01-01,Georgia,17.7,5.6,22.4,54.3
2003-01-01,Georgia,16.5,6.2,21.7,55.6
2004-01-01,Georgia,15.0,5.0,20.9,59.1
2005-01-01,Georgia,16.4,5.8,21.9,56.0
2006-01-01,Georgia,14.1,5.8,21.2,58.8
2007-01-01,Georgia,14.7,4.7,22.7,57.9
2008-01-01,Georgia,14.5,5.0,21.4,59.1
2009-01-01,Georgia,12.6,5.1,22.0,60.3
2010-01-01,Georgia,12.8,4.8,23.1,59.3
2011-01-01,Georgia,12.06,4.994,21.71,61.24
2012-01-01,Georgia,11.69,4.954,21.54,61.82
2013-01-01,Georgia,11.42,4.882,21.47,62.24
2014-01-01,Georgia,11.14,4.847,21.34,62.7
2015-01-01,Georgia,10.91,4.797,21.27,63.05
2016-01-01,Georgia,10.69,4.765,21.18,63.39
2017-01-01,Georgia,10.51,4.728,21.12,63.67
2018-01-01,Georgia,10.34,4.701,21.05,63.94
2019-01-01,Georgia,10.19,4.674,21.0,64.17
