Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
2001-01-01,Guam,26.5,4.7,11.8,57.0
2002-01-01,Guam,24.8,7.1,15.5,52.6
2003-01-01,Guam,26.3,7.8,14.3,51.7
2007-01-01,Guam,23.3,7.6,14.1,54.9
2008-01-01,Guam,21.2,6.2,19.4,53.2
2009-01-01,Guam,18.9,5.2,11.1,64.8
2010-01-01,Guam,19.7,6.1,16.6,57.6
2011-01-01,Guam,18.99,5.537,13.13,62.33
2012-01-01,Guam,19.05,5.826,15.14,59.96
2013-01-01,Guam,18.75,5.532,14.27,61.44
2014-01-01,Guam,18.67,5.606,14.25,61.46
2015-01-01,Guam,18.61,5.569,14.61,61.2
2016-01-01,Guam,18.5,5.513,14.18,61.79
2017-01-01,Guam,18.49,5.544,14.46,61.49
2018-01-01,Guam,18.44,5.499,14.32,61.73
2019-01-01,Guam,18.42,5.509,14.33,61.73
