Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Hawaii,15.1,2.5,21.6,60.9
1996-01-01,Hawaii,18.3,4.0,24.1,53.7
1997-01-01,Hawaii,14.3,4.4,26.4,54.9
1998-01-01,Hawaii,15.8,3.7,26.1,54.4
1999-01-01,Hawaii,14.4,4.1,22.9,58.6
2000-01-01,Hawaii,15.8,3.9,24.2,56.2
2001-01-01,Hawaii,16.5,4.0,24.0,55.5
2002-01-01,Hawaii,17.1,3.9,24.3,54.7
2003-01-01,Hawaii,14.1,3.2,24.1,58.6
2005-01-01,Hawaii,12.1,4.9,26.2,56.8
2006-01-01,Hawaii,13.0,4.6,25.1,57.3
2007-01-01,Hawaii,12.9,4.1,26.0,57.0
2008-01-01,Hawaii,11.8,3.7,25.4,59.2
2009-01-01,Hawaii,10.4,5.0,26.9,57.7
2010-01-01,Hawaii,10.7,3.8,25.3,60.2
2011-01-01,Hawaii,11.88,4.376,25.43,58.35
2012-01-01,Hawaii,12.43,4.354,25.86,57.37
2013-01-01,Hawaii,12.4,4.224,25.56,57.82
2014-01-01,Hawaii,12.62,4.207,25.42,57.76
2015-01-01,Hawaii,12.8,4.219,25.45,57.54
2016-01-01,Hawaii,12.88,4.199,25.42,57.51
2017-01-01,Hawaii,12.94,4.187,25.38,57.51
2018-01-01,Hawaii,12.99,4.184,25.36,57.47
2019-01-01,Hawaii,13.03,4.18,25.35,57.44
