Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Idaho,18.0,1.6,24.1,56.2
1996-01-01,Idaho,16.8,4.4,22.8,56.0
1997-01-01,Idaho,15.6,4.3,24.3,55.8
1998-01-01,Idaho,15.8,4.5,25.2,54.6
1999-01-01,Idaho,16.0,5.5,24.3,54.2
2000-01-01,Idaho,16.9,5.4,24.6,53.1
2001-01-01,Idaho,15.2,4.4,24.4,56.0
2002-01-01,Idaho,16.3,4.3,24.2,55.2
2003-01-01,Idaho,15.0,4.0,23.5,57.6
2004-01-01,Idaho,13.4,4.1,23.4,59.2
2005-01-01,Idaho,13.3,4.6,22.7,59.3
2006-01-01,Idaho,12.9,3.9,23.0,60.2
2007-01-01,Idaho,14.5,4.6,22.6,58.3
2008-01-01,Idaho,12.5,4.4,21.9,61.2
2009-01-01,Idaho,12.3,4.0,22.1,61.6
2010-01-01,Idaho,11.3,4.4,22.9,61.5
2011-01-01,Idaho,12.0,4.59,22.56,60.85
2012-01-01,Idaho,12.36,4.331,22.65,60.66
2013-01-01,Idaho,12.58,4.336,22.63,60.45
2014-01-01,Idaho,12.64,4.324,22.66,60.38
2015-01-01,Idaho,12.68,4.33,22.68,60.3
2016-01-01,Idaho,12.72,4.334,22.7,60.25
2017-01-01,Idaho,12.75,4.337,22.72,60.19
2018-01-01,Idaho,12.78,4.341,22.73,60.15
2019-01-01,Idaho,12.81,4.344,22.74,60.1
