Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Indiana,24.3,2.7,23.0,50.0
1996-01-01,Indiana,24.9,3.7,23.7,47.6
1997-01-01,Indiana,21.7,4.7,23.5,50.2
1998-01-01,Indiana,20.7,5.3,26.0,48.0
1999-01-01,Indiana,22.5,4.5,22.0,51.0
2000-01-01,Indiana,22.4,4.6,22.6,50.5
2001-01-01,Indiana,21.5,5.9,22.6,50.0
2002-01-01,Indiana,23.0,4.7,23.3,49.1
2003-01-01,Indiana,21.1,5.0,24.4,49.5
2004-01-01,Indiana,19.5,5.3,22.6,52.5
2005-01-01,Indiana,20.8,6.4,22.9,49.8
2006-01-01,Indiana,18.6,5.5,23.3,52.7
2007-01-01,Indiana,18.2,5.9,22.8,53.0
2008-01-01,Indiana,19.7,6.3,23.0,51.0
2009-01-01,Indiana,17.1,6.0,23.7,53.2
2010-01-01,Indiana,16.3,5.0,25.1,53.7
2011-01-01,Indiana,17.97,5.471,23.87,52.5
2012-01-01,Indiana,19.07,5.607,22.85,52.43
2013-01-01,Indiana,19.18,5.737,23.44,51.62
2014-01-01,Indiana,19.07,5.612,23.44,51.86
2015-01-01,Indiana,19.11,5.601,23.47,51.79
2016-01-01,Indiana,19.17,5.585,23.41,51.8
2017-01-01,Indiana,19.21,5.586,23.43,51.75
2018-01-01,Indiana,19.23,5.578,23.43,51.74
2019-01-01,Indiana,19.24,5.574,23.43,51.73
