Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Iowa,20.2,2.9,23.9,53.0
1996-01-01,Iowa,19.6,4.0,23.8,52.6
1997-01-01,Iowa,18.7,4.4,24.0,52.9
1998-01-01,Iowa,18.3,5.1,23.7,53.0
1999-01-01,Iowa,18.9,4.6,24.6,51.9
2000-01-01,Iowa,18.3,4.9,23.1,53.7
2001-01-01,Iowa,17.0,5.1,24.6,53.2
2002-01-01,Iowa,18.8,4.3,23.4,53.4
2003-01-01,Iowa,16.2,5.4,24.5,53.8
2004-01-01,Iowa,16.3,4.6,21.4,57.8
2005-01-01,Iowa,16.1,4.3,24.8,54.8
2006-01-01,Iowa,17.1,4.3,23.7,54.8
2007-01-01,Iowa,14.5,5.3,23.5,56.7
2008-01-01,Iowa,14.1,4.6,24.7,56.6
2009-01-01,Iowa,13.4,3.8,24.2,58.7
2010-01-01,Iowa,12.1,4.1,23.4,60.4
2011-01-01,Iowa,10.37,4.085,23.96,61.58
2012-01-01,Iowa,8.86,3.803,23.68,63.67
2013-01-01,Iowa,6.88,3.601,23.85,65.68
2014-01-01,Iowa,4.64,3.33,23.74,68.31
2015-01-01,Iowa,1.91,3.05,23.79,71.28
2016-01-01,Iowa,-1.27,2.701,23.74,74.88
2017-01-01,Iowa,-5.06,2.298,23.75,79.09
2018-01-01,Iowa,-9.54,1.817,23.72,84.09
2019-01-01,Iowa,-14.85,1.25,23.71,90.0
